#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Mar 17 21:22:05 CST 2021,25,25,GreetingMainProvided,GreetingClassRegistryProvided+ , ,GreetingMainProvided+ ,GreetingCheckstyle GreetingRun ,
1,Wed Mar 17 21:22:07 CST 2021,25,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided , ,GreetingMainProvided ,GreetingCheckstyle GreetingRun ,
2,Wed Mar 17 21:22:12 CST 2021,25,0,GreetingRun,GreetingClassRegistryProvided , ,GreetingMainProvided GreetingRun+ ,GreetingCheckstyle ,
3,Wed Mar 17 21:28:42 CST 2021,25,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided , ,GreetingMainProvided GreetingRun ,GreetingCheckstyle ,
4,Wed Mar 17 21:28:58 CST 2021,25,0,GreetingMainProvided,GreetingClassRegistryProvided , ,GreetingMainProvided GreetingRun ,GreetingCheckstyle ,
5,Wed Mar 17 21:30:49 CST 2021,25,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided , ,GreetingMainProvided GreetingRun ,GreetingCheckstyle ,
6,Wed Mar 17 21:30:50 CST 2021,50,25,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided+ , ,GreetingRun ,GreetingCheckstyle ,
7,Wed Mar 17 21:31:09 CST 2021,50,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun ,GreetingCheckstyle ,
8,Wed Mar 17 21:31:29 CST 2021,50,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun ,GreetingCheckstyle ,
9,Wed Mar 17 21:31:29 CST 2021,50,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun ,GreetingCheckstyle ,
10,Wed Mar 17 21:31:40 CST 2021,50,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingRun ,GreetingCheckstyle ,
11,Wed Mar 17 21:32:04 CST 2021,50,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingCheckstyle+ GreetingRun , ,
12,Wed Mar 17 21:37:17 CST 2021,50,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,GreetingCheckstyle GreetingRun , ,
13,Wed Mar 17 21:37:19 CST 2021,75,25,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided GreetingRun+ , ,GreetingCheckstyle , ,
14,Wed Mar 17 21:37:22 CST 2021,75,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,GreetingCheckstyle , ,
15,Wed Mar 17 22:01:14 CST 2021,75,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,GreetingCheckstyle , ,
16,Wed Mar 17 22:01:16 CST 2021,75,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,GreetingCheckstyle , ,
17,Wed Mar 17 22:01:18 CST 2021,75,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,GreetingCheckstyle , ,
